n:73 mse_avg:177.53 mse_y:255.95 mse_u:53.06 mse_v:145.15 psnr_avg:37.70 psnr_y:36.12 psnr_u:42.95 psnr_v:38.58 
n:74 mse_avg:192.58 mse_y:279.80 mse_u:54.21 mse_v:156.51 psnr_avg:37.35 psnr_y:35.73 psnr_u:42.86 psnr_v:38.25 
n:75 mse_avg:167.90 mse_y:245.93 mse_u:48.30 mse_v:131.41 psnr_avg:37.95 psnr_y:36.29 psnr_u:43.36 psnr_v:39.01 
n:76 mse_avg:167.01 mse_y:243.93 mse_u:48.52 mse_v:131.65 psnr_avg:37.97 psnr_y:36.32 psnr_u:43.34 psnr_v:39.00 
n:77 mse_avg:180.12 mse_y:262.53 mse_u:47.66 mse_v:147.77 psnr_avg:37.64 psnr_y:36.01 psnr_u:43.42 psnr_v:38.50 
n:78 mse_avg:197.74 mse_y:289.76 mse_u:49.65 mse_v:161.80 psnr_avg:37.24 psnr_y:35.58 psnr_u:43.24 psnr_v:38.11 
n:79 mse_avg:152.78 mse_y:226.87 mse_u:39.76 mse_v:117.60 psnr_avg:38.36 psnr_y:36.64 psnr_u:44.20 psnr_v:39.49 
n:80 mse_avg:144.09 mse_y:214.00 mse_u:37.96 mse_v:110.41 psnr_avg:38.61 psnr_y:36.89 psnr_u:44.40 psnr_v:39.77 
n:81 mse_avg:143.70 mse_y:214.72 mse_u:35.40 mse_v:109.94 psnr_avg:38.62 psnr_y:36.88 psnr_u:44.71 psnr_v:39.79 
n:82 mse_avg:152.94 mse_y:227.85 mse_u:37.18 mse_v:118.87 psnr_avg:38.35 psnr_y:36.62 psnr_u:44.49 psnr_v:39.45 
n:83 mse_avg:133.67 mse_y:200.69 mse_u:34.01 mse_v:99.30 psnr_avg:38.94 psnr_y:37.17 psnr_u:44.88 psnr_v:40.23 
n:84 mse_avg:133.86 mse_y:197.97 mse_u:34.40 mse_v:105.09 psnr_avg:38.93 psnr_y:37.23 psnr_u:44.83 psnr_v:39.98 
n:85 mse_avg:142.60 mse_y:212.74 mse_u:34.71 mse_v:110.20 psnr_avg:38.66 psnr_y:36.92 psnr_u:44.79 psnr_v:39.78 
n:86 mse_avg:161.41 mse_y:238.21 mse_u:38.67 mse_v:130.54 psnr_avg:38.12 psnr_y:36.43 psnr_u:44.32 psnr_v:39.04 
n:87 mse_avg:151.11 mse_y:224.41 mse_u:35.88 mse_v:119.74 psnr_avg:38.40 psnr_y:36.69 psnr_u:44.65 psnr_v:39.42 
n:88 mse_avg:151.75 mse_y:224.13 mse_u:36.85 mse_v:121.91 psnr_avg:38.39 psnr_y:36.69 psnr_u:44.53 psnr_v:39.34 
n:89 mse_avg:175.12 mse_y:256.76 mse_u:36.95 mse_v:150.03 psnr_avg:37.76 psnr_y:36.10 psnr_u:44.52 psnr_v:38.44 
n:90 mse_avg:188.03 mse_y:276.50 mse_u:38.54 mse_v:160.58 psnr_avg:37.46 psnr_y:35.78 psnr_u:44.34 psnr_v:38.14 
n:91 mse_avg:179.07 mse_y:262.86 mse_u:40.35 mse_v:150.24 psnr_avg:37.67 psnr_y:36.00 psnr_u:44.14 psnr_v:38.43 
n:92 mse_avg:186.42 mse_y:272.27 mse_u:42.22 mse_v:158.94 psnr_avg:37.49 psnr_y:35.85 psnr_u:43.94 psnr_v:38.19 
n:93 mse_avg:202.65 mse_y:295.70 mse_u:44.84 mse_v:174.36 psnr_avg:37.13 psnr_y:35.49 psnr_u:43.68 psnr_v:37.78 
n:94 mse_avg:220.72 mse_y:321.77 mse_u:47.15 mse_v:192.21 psnr_avg:36.76 psnr_y:35.12 psnr_u:43.46 psnr_v:37.36 
n:95 mse_avg:221.09 mse_y:324.14 mse_u:47.95 mse_v:188.14 psnr_avg:36.75 psnr_y:35.09 psnr_u:43.39 psnr_v:37.45 
n:96 mse_avg:226.94 mse_y:332.19 mse_u:48.81 mse_v:194.58 psnr_avg:36.64 psnr_y:34.98 psnr_u:43.31 psnr_v:37.31 
n:97 mse_avg:247.37 mse_y:367.90 mse_u:50.57 mse_v:203.09 psnr_avg:36.26 psnr_y:34.54 psnr_u:43.16 psnr_v:37.12 
n:98 mse_avg:38.48 mse_y:68.18 mse_u:8.81 mse_v:8.73 psnr_avg:44.35 psnr_y:41.86 psnr_u:50.75 psnr_v:50.79 
n:99 mse_avg:37.08 mse_y:65.79 mse_u:8.42 mse_v:8.33 psnr_avg:44.51 psnr_y:42.02 psnr_u:50.95 psnr_v:50.99 
n:100 mse_avg:37.07 mse_y:65.70 mse_u:8.47 mse_v:8.39 psnr_avg:44.51 psnr_y:42.02 psnr_u:50.92 psnr_v:50.96 
n:101 mse_avg:36.61 mse_y:64.73 mse_u:8.52 mse_v:8.44 psnr_avg:44.56 psnr_y:42.09 psnr_u:50.89 psnr_v:50.93 
n:102 mse_avg:40.53 mse_y:72.40 mse_u:8.69 mse_v:8.64 psnr_avg:44.12 psnr_y:41.60 psnr_u:50.81 psnr_v:50.83 
n:103 mse_avg:36.86 mse_y:65.54 mse_u:8.21 mse_v:8.13 psnr_avg:44.53 psnr_y:42.03 psnr_u:51.05 psnr_v:51.09 
n:104 mse_avg:37.38 mse_y:66.55 mse_u:8.26 mse_v:8.18 psnr_avg:44.47 psnr_y:41.97 psnr_u:51.03 psnr_v:51.07 
n:105 mse_avg:38.76 mse_y:69.35 mse_u:8.21 mse_v:8.14 psnr_avg:44.31 psnr_y:41.79 psnr_u:51.06 psnr_v:51.09 
n:106 mse_avg:57.13 mse_y:103.06 mse_u:10.53 mse_v:11.87 psnr_avg:42.63 psnr_y:40.07 psnr_u:49.97 psnr_v:49.45 
n:107 mse_avg:93.32 mse_y:164.85 mse_u:16.65 mse_v:26.93 psnr_avg:40.50 psnr_y:38.03 psnr_u:47.98 psnr_v:45.90 
n:108 mse_avg:203.84 mse_y:371.80 mse_u:27.61 mse_v:44.15 psnr_avg:37.10 psnr_y:34.49 psnr_u:45.79 psnr_v:43.75 
n:109 mse_avg:212.84 mse_y:389.21 mse_u:27.76 mse_v:45.19 psnr_avg:36.92 psnr_y:34.30 psnr_u:45.76 psnr_v:43.65 
n:110 mse_avg:290.71 mse_y:535.46 mse_u:31.83 mse_v:60.08 psnr_avg:35.56 psnr_y:32.91 psnr_u:45.17 psnr_v:42.41 
n:111 mse_avg:286.06 mse_y:526.93 mse_u:31.63 mse_v:58.74 psnr_avg:35.63 psnr_y:32.98 psnr_u:45.20 psnr_v:42.51 
n:112 mse_avg:211.14 mse_y:378.81 mse_u:31.59 mse_v:55.35 psnr_avg:36.95 psnr_y:34.41 psnr_u:45.20 psnr_v:42.77 
n:113 mse_avg:216.07 mse_y:387.51 mse_u:32.43 mse_v:56.84 psnr_avg:36.85 psnr_y:34.31 psnr_u:45.09 psnr_v:42.65 
n:114 mse_avg:217.20 mse_y:392.67 mse_u:30.38 mse_v:53.07 psnr_avg:36.83 psnr_y:34.26 psnr_u:45.37 psnr_v:42.95 
n:115 mse_avg:254.90 mse_y:470.10 mse_u:29.05 mse_v:50.36 psnr_avg:36.13 psnr_y:33.48 psnr_u:45.57 psnr_v:43.18 
n:116 mse_avg:251.37 mse_y:463.34 mse_u:28.77 mse_v:50.04 psnr_avg:36.19 psnr_y:33.54 psnr_u:45.61 psnr_v:43.20 
n:117 mse_avg:277.33 mse_y:513.22 mse_u:30.31 mse_v:52.59 psnr_avg:35.77 psnr_y:33.09 psnr_u:45.38 psnr_v:42.99 
n:118 mse_avg:269.67 mse_y:498.25 mse_u:29.98 mse_v:52.18 psnr_avg:35.89 psnr_y:33.22 psnr_u:45.43 psnr_v:43.02 
n:119 mse_avg:42.03 mse_y:55.08 mse_u:21.88 mse_v:36.09 psnr_avg:43.96 psnr_y:42.79 psnr_u:46.80 psnr_v:44.62 
n:120 mse_avg:42.30 mse_y:56.46 mse_u:21.39 mse_v:34.88 psnr_avg:43.93 psnr_y:42.68 psnr_u:46.90 psnr_v:44.77 
n:121 mse_avg:43.93 mse_y:59.94 mse_u:21.38 mse_v:34.47 psnr_avg:43.77 psnr_y:42.42 psnr_u:46.90 psnr_v:44.82 
n:122 mse_avg:45.12 mse_y:62.73 mse_u:21.46 mse_v:33.54 psnr_avg:43.65 psnr_y:42.22 psnr_u:46.88 psnr_v:44.94 
n:123 mse_avg:48.13 mse_y:67.46 mse_u:22.44 mse_v:35.16 psnr_avg:43.37 psnr_y:41.91 psnr_u:46.69 psnr_v:44.74 
n:124 mse_avg:43.79 mse_y:61.19 mse_u:21.29 mse_v:31.51 psnr_avg:43.78 psnr_y:42.33 psnr_u:46.91 psnr_v:45.21 
n:125 mse_avg:47.16 mse_y:68.05 mse_u:21.27 mse_v:31.27 psnr_avg:43.46 psnr_y:41.87 psnr_u:46.92 psnr_v:45.25 
n:126 mse_avg:47.02 mse_y:68.09 mse_u:20.98 mse_v:30.93 psnr_avg:43.47 psnr_y:41.87 psnr_u:46.98 psnr_v:45.29 
n:127 mse_avg:52.03 mse_y:77.26 mse_u:21.73 mse_v:31.86 psnr_avg:43.04 psnr_y:41.32 psnr_u:46.83 psnr_v:45.16 
n:128 mse_avg:47.65 mse_y:70.40 mse_u:20.32 mse_v:29.48 psnr_avg:43.42 psnr_y:41.72 psnr_u:47.12 psnr_v:45.50 
n:129 mse_avg:52.16 mse_y:79.13 mse_u:20.53 mse_v:29.86 psnr_avg:43.02 psnr_y:41.21 psnr_u:47.07 psnr_v:45.45 
n:130 mse_avg:51.57 mse_y:78.18 mse_u:20.28 mse_v:29.63 psnr_avg:43.07 psnr_y:41.27 psnr_u:47.13 psnr_v:45.48 
n:131 mse_avg:53.48 mse_y:81.08 mse_u:21.20 mse_v:30.55 psnr_avg:42.92 psnr_y:41.11 psnr_u:46.93 psnr_v:45.35 
